date_reported,date_occ,area_name,crime_cd_description,victim_age,victim_sex,premis_description,weapon_description,status_description,location,lat,lon,time,daytime,day_occured,day_reported,report_delay,report_delay_bin,case,victim
2021-01-01,2020-12-23,Wilshire,theft of identity,44,female,other premise,no weapon,Invest Cont,100 s  sycamore                     av,34.0736,-118.3429,12:00:00,early afternoon,Wednesday,Friday,9 days,9 days,burglary/theft/robbery,yes
2021-01-01,2021-01-01,Foothill,contempt of court,43,female,"multi-unit dwelling (apartment, duplex, etc)",no weapon,Adult Arrest,12400    osborne                      st,34.2626,-118.4094,04:20:00,early morning,Friday,Friday,0 days,0 days,others,yes
2021-01-02,2021-01-02,Northeast,"assault with deadly weapon, aggravated assault",0,male,street,unknown firearm,Invest Cont,1100 n  madison                      av,34.0909,-118.2893,18:40:00,early evening,Saturday,Saturday,0 days,0 days,battery/assault,yes
2021-01-02,2021-01-02,Newton,vehicle - stolen,0,no victim,street,no weapon,Invest Cont,700 e  20th                         st,34.0259,-118.2561,03:00:00,early morning,Saturday,Saturday,0 days,0 days,vehicle burglary/theft,no
2021-01-03,2020-12-26,Southeast,"letters, lewd  -  telephone calls, lewd",34,female,single family dwelling,no weapon,Invest Cont,100 e  111th                        st,33.9348,-118.2739,16:50:00,late afternoon,Saturday,Sunday,8 days,8 days,sexual crimes,yes
2021-01-04,2020-01-04,Central,battery - simple assault,45,female,sidewalk,"strong-arm (hands, fist, feet or bodily force)",Invest Cont,5th                          st,34.0435,-118.2427,14:15:00,afternoon,Saturday,Monday,366 days,12 months,battery/assault,yes
2021-01-05,2021-01-05,Newton,brandish weapon,17,male,street,knife with blade 6inches or less,Invest Cont,slauson                      av,33.9893,-118.2565,14:30:00,afternoon,Tuesday,Tuesday,0 days,0 days,lethal/deadly act,yes
2021-01-05,2020-12-31,Hollywood,shoplifting - petty theft ($950 & under),0,no victim,department store,no weapon,Invest Cont,5500 w  sunset                       bl,34.0981,-118.3103,16:20:00,late afternoon,Thursday,Tuesday,5 days,5 days,burglary/theft/robbery,no
2021-01-06,2021-01-06,West LA,"letters, lewd  -  telephone calls, lewd",66,male,single family dwelling,no weapon,Invest Cont,2000    ridge point                  dr,34.104,-118.4889,12:41:00,early afternoon,Wednesday,Wednesday,0 days,0 days,sexual crimes,yes
2021-01-06,2021-01-04,Southeast,brandish weapon,25,male,street,semi-automatic pistol,Invest Cont,200 e  101st                        st,33.9447,-118.27,14:00:00,afternoon,Monday,Wednesday,2 days,2 days,lethal/deadly act,yes
2021-01-08,2021-01-08,Pacific,battery - simple assault,61,male,parking lot,"strong-arm (hands, fist, feet or bodily force)",Adult Other,venice,33.9918,-118.4791,21:20:00,late night,Friday,Friday,0 days,0 days,battery/assault,yes
2021-01-08,2021-01-08,West Valley,brandish weapon,27,male,"multi-unit dwelling (apartment, duplex, etc)",hand gun,Adult Other,19400    haynes                       st,34.189,-118.5567,18:25:00,early evening,Friday,Friday,0 days,0 days,lethal/deadly act,yes
2021-01-08,2021-01-07,Rampart,theft from motor vehicle - petty ($950 & under),0,no victim,parking lot,no weapon,Invest Cont,400 s  lake                         st,34.0629,-118.2741,21:00:00,late night,Thursday,Friday,1 days,1 days,vehicle burglary/theft,no
2021-01-08,2021-01-06,Newton,burglary from vehicle,20,male,street,no weapon,Invest Cont,1000 e  25th                         st,34.0203,-118.2558,14:20:00,afternoon,Wednesday,Friday,2 days,2 days,vehicle burglary/theft,yes
2021-01-08,2020-11-05,Topanga,theft from motor vehicle - petty ($950 & under),0,no victim,"multi-unit dwelling (apartment, duplex, etc)",no weapon,Invest Cont,23100    avenue san luis,34.1615,-118.6311,16:31:00,late afternoon,Thursday,Friday,64 days,2 months,vehicle burglary/theft,no
2021-01-09,2021-01-09,Van Nuys,arson,0,male,freeway,no weapon,Invest Cont,harbor                       fy,34.162,-118.457,03:51:00,early morning,Saturday,Saturday,0 days,0 days,arson,yes
2021-01-11,2021-01-11,Hollywood,robbery,0,no victim,"discount store (99 cent,dollar,etc.","strong-arm (hands, fist, feet or bodily force)",Invest Cont,1200    vine                         st,34.0926,-118.3266,16:00:00,late afternoon,Monday,Monday,0 days,0 days,burglary/theft/robbery,no
2021-01-11,2021-01-11,Northeast,robbery,28,female,street,"strong-arm (hands, fist, feet or bodily force)",Invest Cont,sunset,34.0981,-118.2874,08:30:00,morning,Monday,Monday,0 days,0 days,burglary/theft/robbery,yes
2021-01-12,2020-09-01,West LA,theft of identity,30,male,single family dwelling,no weapon,Invest Cont,2400    corinth                      av,34.0339,-118.439,00:01:00,midnight,Tuesday,Tuesday,133 days,4 months,burglary/theft/robbery,yes
2021-01-13,2021-01-12,Harbor,vehicle - stolen,0,no victim,parking lot,no weapon,Invest Cont,500    gulf                         av,33.7751,-118.2725,21:45:00,late night,Tuesday,Wednesday,1 days,1 days,vehicle burglary/theft,no
2021-01-13,2021-01-10,Southeast,vehicle - stolen,0,no victim,street,no weapon,Invest Cont,10700    grape                        st,33.9373,-118.237,10:00:00,morning,Sunday,Wednesday,3 days,3 days,vehicle burglary/theft,no
2021-01-14,2021-01-14,Foothill,"vandalism - felony ($400 & over, all church vandalisms)",20,female,"vehicle, passenger/truck",no weapon,Adult Arrest,mountair,34.2516,-118.2816,21:10:00,late night,Thursday,Thursday,0 days,0 days,vandalism,yes
2021-01-14,2021-01-13,Hollenbeck,vehicle - stolen,0,no victim,street,no weapon,Invest Cont,buena vista                  av,34.0245,-118.2143,22:00:00,late night,Wednesday,Thursday,1 days,1 days,vehicle burglary/theft,no
2021-01-15,2021-01-05,Van Nuys,"vandalism - felony ($400 & over, all church vandalisms)",31,female,parking lot,no weapon,Invest Cont,14000    riverside                    dr,34.1576,-118.4389,11:00:00,late morning,Tuesday,Friday,10 days,10 days,vandalism,yes
