ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Name:
0x30b2,HYDRES02DEL02,31.0,4.6,17.41233,78.449654,17.46233,78.499654,11-03-2022,20:15,20:30,Sunny,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,object
0x6085,MUMRES06DEL02,36.0,4.7,19.055831,72.833984,19.075831,72.853984,05-03-2022,10:25,10:30,Cloudy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,object
0xb0d9,RANCHIRES19DEL02,37.0,4.8,23.333017,85.3172,23.413017,85.3972,02-04-2022,18:60,19:15,Windy,Medium,2,Meal,scooter,1.0,No,Metropolitian,object
0x5928,PUNERES15DEL02,25.0,4.1,18.636215,73.751081,18.766215,73.881081,16-03-2022,18:25,18:40,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,object
0x3e68,HYDRES16DEL02,28.0,3.5,17.440827,78.393391,17.460827,78.413391,11-03-2022,11:55,11:60,Sunny,High,0,Snack,motorcycle,1.0,No,Metropolitian,object
0xcf79,KNPRES11DEL01,27.0,4.8,26.474986,80.342796,26.544986,80.412796,14-02-2022,23:10,23:15,Windy,Low,1,Buffet,scooter,0.0,No,Urban,object
0x8dfa,SURRES06DEL01,34.0,4.7,21.185047,72.80859,21.295047,72.91859,18-03-2022,23:35,23:40,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,object
0xae6a,SURRES09DEL02,23.0,4.9,21.175975,72.795503,21.305975,72.925503,04-04-2022,18:10,18:15,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,object
0xc949,BHPRES05DEL02,30.0,4.9,23.214459,77.434976,23.344459,77.564976,14-02-2022,22:50,22:60,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,object
0x4525,MYSRES12DEL02,29.0,4.9,12.284747,76.625861,12.304747,76.645861,05-04-2022,10:10,10:15,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,object
0xc6cb,KOCRES07DEL03,32.0,4.9,9.985697,76.281128,10.015697,76.311128,13-02-2022,18:25,18:35,Sandstorms,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,object
0x2aec,VADRES01DEL01,31.0,5.0,22.307898,73.167788,22.317898,73.177788,05-04-2022,8:45,8:60,Sunny,Low,0,Buffet,motorcycle,0.0,No,Urban,object
0x2b24,MYSRES18DEL01,22.0,4.7,12.337928,76.617889,12.407928,76.687889,29-03-2022,23:25,23:30,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Urban,object
0xc1e1,ALHRES09DEL01,35.0,4.7,0.0,0.0,0.07,0.07,16-02-2022,19:10,19:20,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,object
0xb01c,VADRES02DEL02,36.0,4.8,0.0,0.0,0.05,0.05,26-03-2022,17:55,17:60,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,object
0x2f2c,INDORES16DEL03,35.0,4.1,22.744648,75.894377,22.834648,75.984377,08-03-2022,23:60,24:15,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,object
0x9305,MYSRES18DEL03,28.0,4.9,12.337928,76.617889,12.427928,76.707889,08-03-2022,17:40,17:45,Sunny,Medium,0,Meal,motorcycle,1.0,No,Urban,object
0x2093,JAPRES17DEL01,35.0,4.0,26.892312,75.806896,27.002312,75.916896,06-03-2022,22:60,23:05,Cloudy,Low,0,Snack,motorcycle,1.0,No,Urban,object
0x3a4c,HYDRES18DEL01,22.0,3.5,17.450851,78.379347,17.560851,78.489347,02-04-2022,23:60,24:10,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,object
0x6c8b,SURRES20DEL01,38.0,4.5,21.15276,72.778059,21.26276,72.888059,20-03-2022,21:35,21:50,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,object
0x8de2,BANGRES01DEL02,24.0,5.0,12.933284,77.615428,13.063284,77.745428,02-04-2022,22:10,22:20,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,object
0xb116,SURRES06DEL02,33.0,4.9,21.185047,72.80859,21.315047,72.93859,06-03-2022,22:55,23:10,Sunny,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,object
0x5972,MYSRES04DEL03,27.0,4.9,12.3085,76.665808,12.3685,76.725808,01-04-2022,19:55,20:05,Sunny,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,object
0x7641,COIMBRES01DEL01,29.0,4.9,11.016298,76.972076,11.026298,76.982076,01-03-2022,9:20,9:25,Cloudy,Low,2,Drinks,scooter,0.0,No,Metropolitian,object
0x67ae,MYSRES13DEL01,21.0,4.8,12.310972,76.659264,12.350972,76.699264,01-03-2022,14:35,14:40,Stormy,High,2,Snack,scooter,1.0,No,Urban,object
0xd9b6,LUDHRES03DEL02,27.0,4.6,30.88722,75.804893,30.96722,75.884893,16-02-2022,18:45,18:55,Windy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,object
0xa337,SURRES19DEL01,21.0,4.7,21.149669,72.772629,21.189669,72.812629,26-03-2022,14:10,14:25,Fog,High,1,Buffet,scooter,1.0,No,Urban,object
0x429a,HYDRES17DEL02,30.0,4.9,17.451976,78.385883,17.471976,78.405883,17-03-2022,11:10,11:20,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,object
